year,locality_id,id,ALAN_median,ALAN_sd
2016,L3066084,22682,0.719839945,0.137529045
2016,L2553075,22016,0.137186176,0.006661387
2016,L1204278,22554,1.355957475,1.313032649
2016,L4563790,24370,1.146299218,0.84242501
2016,L4681786,23533,0.106453883,0.005487598
2016,L4747635,24377,0.114303318,0.003765656
2016,L4894235,22902,0.258246901,0.063007101
2016,L4885633,24383,0.308428961,0.129968307
2016,L4947498,24389,3.165773141,2.898873621
2016,L5049554,24394,0.113783245,0.004658148
2016,L5078301,23935,0.112416806,0.002744296
2016,L5178583,24397,1.274931219,1.103381809
2016,L4133500,24678,0.453575774,0.07091692
2016,L921962,22325,0.163871759,0.005501977
2016,L4317780,24683,0.103133233,0.003537702
2016,L4384558,24684,0.202373452,0.017686445
2016,L4397691,22835,0.221318082,0.10598911
2016,L2563028,22299,0.10832106,0.00467066
2016,L4888700,23774,0.3307721,0.161342171
2016,L2558489,22034,6.856414358,5.196253796
2016,L5135592,24692,0.154264515,0.02827263
2016,L3001770,23042,0.119183291,0.0035069570000000002
2016,L5009949,22290,5.89620356,3.36186428
2016,L5050636,24701,0.111930792,0.004957858
2016,L5101436,24704,0.111260713,0.003000013
2016,L5090462,23715,0.118844027,0.004760036
2016,L3390840,22065,0.117835054,0.011411706
2016,L2589676,24823,0.397249939,0.099193775
2016,L4202156,24825,0.116906088,0.006408754
2016,L2557530,22566,2.669339569,2.037758869
2016,L4438095,24650,0.115758043,0.005733593
2016,L2559240,24837,0.110809864,0.005370773
2016,L2993444,22435,3.523301742,1.749290927
2016,L2534780,22669,0.174766389,0.008418861
2016,L3406828,23026,0.280769924,0.033885175
2016,L2238154,22495,1.352687641,1.501017544
2016,L2540548,22243,0.110292179,0.007743797
2016,L4949730,24847,1.307070134,1.263705477
2016,L3155736,22531,0.118909929,0.004552456
2016,L5101447,24849,0.120472761,0.014025653
2016,L4957421,24855,0.269686279,0.014963547
2016,L3159624,22223,0.112767665,0.003650835
2016,L5064940,24861,7.582070608,9.108933701
2016,L7403282,24911,0.117271931,0.004705298
2016,L7102483,24929,0.147837779,0.010051016
2016,L2556466,25089,0.170227891,0.011349754
2016,L4467446,25094,0.101555809,0.00939923
2016,L3665239,25055,0.408718932,0.238696408
2016,L2559959,25117,0.10645818,0.003696052
2016,L5050526,25124,0.11422208,0.002957435
2016,L2381768,24996,0.76360135,0.410242941
2016,L2556742,25023,2.282763287,2.294349983
2016,L5126411,25133,1.131287694,1.198616603
2016,L12062165,25179,0.300732506,0.257803914
2016,L4387684,25201,0.116279619,0.003450567
2016,L2747656,25113,0.160968994,0.015929969
2016,L4430200,25227,0.540086909,0.113011993
2016,L969197,25148,2.172413203,1.95747893
2016,L1005532,25236,0.125053201,0.00529406
2016,L2552928,25253,0.117199704,0.004980461
